N°,PROYECTO,PROPIETARIO,ID POSTE,LAT,LON,STATUS,ID CAJA,NO. PORTS,ID CIERRE EMP,ACTIVE CLIENTS,CONECTED TO,FLEJE,HERRAJE,BRAZO,GAZA,RAQUETA,CAJA DISTRIBUCIÓN,CIERRE DE EMPALME,REMATE,POTENCIA CALCULO,POTENCIA FISICA,CALIDAD - POTENCIA,Tag Pot
86,VILLA VICTORIA CHINICUILA,CFE,PC086,18.759371,-103.365503,0,N/A,N/A,N/A,0,PC085,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,No Aplica
87,VILLA VICTORIA CHINICUILA,CFE,PC087,18.759651,-103.365265,0,T1-H5-C03,16,N/A,0,PC086,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,-20.5,-19.57,2.20,Excelente
88,VILLA VICTORIA CHINICUILA,CFE,PC088,18.759514,-103.365217,0,N/A,N/A,N/A,0,PC087,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,No Aplica
89,VILLA VICTORIA CHINICUILA,CFE,PC089,18.759003,-103.364471,0,N/A,N/A,N/A,0,PC088,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,No Aplica
90,VILLA VICTORIA CHINICUILA,CFE,PC090,18.758661,-103.364138,0,N/A,N/A,N/A,0,PC089,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,No Aplica
91,VILLA VICTORIA CHINICUILA,CFE,PC091,18.758627,-103.363927,0,T1-H5-C04,8,N/A,0,PC090,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,-18.4,-17.13,16.75,Regular
92,VILLA VICTORIA CHINICUILA,CFE,PC092,18.758359,-103.363691,0,N/A,N/A,N/A,0,PC091,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,No Aplica
93,VILLA VICTORIA CHINICUILA,CFE,PC093,18.757956,-103.363885,0,T1-H5-C05,16,N/A,0,PC092,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,-18.7,-16.64,20.19,Regular
94,VILLA VICTORIA CHINICUILA,CFE,PC094,18.758118,-103.365247,0,T1-H5-C06,16,N/A,0,PC075,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,-20.4,-18.57,7.70,Muy bueno
95,VILLA VICTORIA CHINICUILA,CFE,PC095,18.757306,-103.365674,0,N/A,N/A,N/A,0,PC094,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,No Aplica
96,VILLA VICTORIA CHINICUILA,CFE,PC096,18.757171,-103.365753,0,T1-H5-C07,16,N/A,0,PC095,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,-20.5,-19.12,4.60,Excelente
97,VILLA VICTORIA CHINICUILA,CFE,PC097,18.757381,-103.364489,0,T1-H5-C08,16,N/A,0,PC077,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,-22.3,-19.86,0.70,Excelente
98,VILLA VICTORIA CHINICUILA,CFE,PC098,18.757689,-103.364177,0,T1-H5-C09,8,N/A,0,PC097,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,-22,-20.17,-0.84,Excelente
99,VILLA VICTORIA CHINICUILA,CFE,PC099,18.756231,-103.36443,0,T1-H6-C02,16,N/A,0,PMN03,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,-21.8,-19.73,1.37,Excelente
100,VILLA VICTORIA CHINICUILA,CFE,PC100,18.756244,-103.364637,0,N/A,N/A,N/A,0,PC099,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,No Aplica
101,VILLA VICTORIA CHINICUILA,CFE,PC101,18.756276,-103.364956,0,N/A,N/A,N/A,0,PC100,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,No Aplica
102,VILLA VICTORIA CHINICUILA,CFE,PC102,18.756315,-103.365298,0,N/A,N/A,N/A,0,PC101,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,No Aplica
103,VILLA VICTORIA CHINICUILA,CFE,PC103,18.756479,-103.365641,0,N/A,N/A,N/A,0,PC102,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,No Aplica
104,VILLA VICTORIA CHINICUILA,CFE,PC104,18.756207,-103.365808,0,N/A,N/A,N/A,0,PC110,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,No Aplica
105,VILLA VICTORIA CHINICUILA,CFE,PC105,18.756036,-103.365803,0,T1-H6-C05,16,N/A,0,PC104,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,-20.3,-17.79,12.42,Bueno
106,VILLA VICTORIA CHINICUILA,CFE,PC106,18.755673,-103.365897,0,N/A,N/A,N/A,0,PC105,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,No Aplica
107,VILLA VICTORIA CHINICUILA,CFE,PC107,18.75529,-103.366015,0,T1-H6-C06,16,N/A,0,PC106,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,-19.1,-17.44,14.68,Bueno
108,VILLA VICTORIA CHINICUILA,CFE,PC108,18.754912,-103.366141,0,N/A,N/A,N/A,0,PC107,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,No Aplica
109,VILLA VICTORIA CHINICUILA,CFE,PC109,18.754562,-103.366251,0,T1-H6-C07,16,N/A,0,PC108,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,-19.1,-16.63,20.26,Regular
110,VILLA VICTORIA CHINICUILA,CFE,PC110,18.756384,-103.365932,0,T1-H6-C03,16,N/A,0,PC103,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,-20,-18.17,10.07,Muy bueno
111,VILLA VICTORIA CHINICUILA,CFE,PC111,18.756682,-103.366041,0,T1-H6-C04,16,N/A,0,PC110,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,-20.6,-18.35,8.99,Muy bueno
